epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,lr,train_l1,train_grad,train_seg,train_bg
1,0.8012814528096921,0.7480941221994513,10.33831,14.182201,-0.0643700361251831,0.0001,0.22970825335178427,0.2693857707122646,0.482519563228365,0.16667830849450732
2,0.7185333270244497,0.6890629696495393,9.800653,13.800263,-0.007813334465026855,9.990133642141359e-05,0.21737973608825573,0.267102398096569,0.36046930059554083,0.14105675389211644
3,0.6375207509944048,0.584119992221103,7.2018805,11.779996,0.26566267013549805,9.96057350657239e-05,0.18658540729019377,0.2605226742369788,0.33767631697276285,0.0693074055213146
4,0.5902813742400477,0.554158033693538,6.6342154,11.188145,0.33759820461273193,9.911436253643444e-05,0.169491313161358,0.24773672424138538,0.33145787342200206,0.04228181836426889
5,0.5632559316498893,0.5387679522528368,5.8771663,10.568673,0.4089200496673584,9.842915805643155e-05,0.158548607555016,0.24112338702830058,0.31384261677820213,0.0505600652741219
6,0.5511875743903811,0.5242596128407646,5.8800926,10.47624,0.41921383142471313,9.755282581475769e-05,0.15474184862678014,0.23714991926989226,0.3051698612315314,0.054292568335772826
7,0.5418690409925249,0.5162702763781828,5.76814,9.888712,0.48253047466278076,9.648882429441257e-05,0.15069636422648,0.2348346653044539,0.29906474172122893,0.056359253350704436
8,0.5280734701131387,0.5051060616970062,5.5082965,9.756998,0.4962236285209656,9.524135262330098e-05,0.14584037815294568,0.23166541837983662,0.2892662736158522,0.057806008214515356
9,0.5244533999887093,0.5133417967487784,5.702813,10.017267,0.4689885973930359,9.381533400219317e-05,0.14465577620520162,0.22985284728190256,0.28634789814709355,0.061777228578215555
10,0.510204095531393,0.48621990487856026,5.156008,8.917813,0.5791550874710083,9.221639627510075e-05,0.13885318192224655,0.22810780304291892,0.2767785494289701,0.06122186781946944
11,0.5075308740454376,0.495777428150177,5.4306192,9.56553,0.5158015489578247,9.045084971874735e-05,0.1366205917937415,0.2266705158762831,0.27990422181036106,0.062106481758217334
12,0.5010010540170013,0.47767405650194955,5.1669326,9.126305,0.5592469573020935,8.852566213878945e-05,0.13483740696831356,0.2249889828698345,0.27497232102212454,0.06328991591615021
13,0.49133482819827146,0.4723639900193495,5.1606703,8.956206,0.5755236148834229,8.644843137107056e-05,0.129414067854957,0.2240972569379857,0.26985744698337777,0.06365380546560993
14,0.48219157321743233,0.4725692684159559,4.9814477,8.605331,0.6081313490867615,8.422735529643442e-05,0.12720560725955737,0.2221960780560655,0.26250819617478305,0.06283898281041907
15,0.4813334897712425,0.461328899159151,4.9428024,8.35318,0.6307597160339355,8.187119948743447e-05,0.12550894464686435,0.2213233321826294,0.26414162614358166,0.06513795024030423
16,0.4712088054450101,0.4790238676702275,5.0245776,8.610953,0.6076191067695618,7.938926261462366e-05,0.1220705657606087,0.2200956197958144,0.2588141302740763,0.06381391631390051
17,0.47094277335853174,0.4733218629570568,5.0962787,8.638931,0.6050652265548706,7.679133974894982e-05,0.12208958358439818,0.2196120056446898,0.2579033815513843,0.06521561940905278
18,0.4687080670286108,0.4582674731226528,4.8296156,8.430718,0.6238729953765869,7.408768370508575e-05,0.12089110575813465,0.2184322246956447,0.2560421059686671,0.06407898958161394
19,0.46169959260988486,0.4550553805687848,4.677771,8.084045,0.6541698575019836,7.128896457825361e-05,0.1186858765268452,0.2173482738238163,0.2513514021559367,0.06484516503082381
20,0.4558490803317418,0.45496557915911956,4.6464634,8.074819,0.6549588441848755,6.840622763423389e-05,0.11622202997564007,0.21642069045513396,0.24869844522425738,0.06517255320041268
21,0.4550549044180169,0.4491457562236225,4.5997667,8.076921,0.6547791957855225,6.545084971874736e-05,0.11592619128958889,0.21633882063721854,0.24863881227515994,0.06486545781057979
22,0.4500078340529134,0.4542177985696232,4.7409163,8.529125,0.6150411367416382,6.243449435824272e-05,0.1144646136927857,0.2144626102277211,0.24323497318401538,0.0649021375707533
23,0.44532272803089606,0.44407327473163605,4.5792027,7.9597683,0.6647211313247681,5.9369065729286224e-05,0.11205662195644682,0.21390607215897747,0.2423273464516988,0.06530437529796645
24,0.44362529063666306,0.44387666267507214,4.544915,8.004576,0.6609357595443726,5.626666167821521e-05,0.1114058527287352,0.21289559761210095,0.24268033737858768,0.06575959398554115
25,0.4416353880728363,0.4443002974285799,4.496295,7.9429107,0.6661397814750671,5.3139525976465657e-05,0.11057491553208185,0.2125432331252981,0.2413951693861573,0.06514554125843225
26,0.43505942238070977,0.4379882382995942,4.471284,7.9195385,0.6681016683578491,4.999999999999998e-05,0.10835907273191624,0.21102459799675716,0.23554812269236045,0.06607918827622025
27,0.42981779930137454,0.43636246376177845,4.380884,7.7552557,0.6817286014556885,4.6860474023534314e-05,0.10648127085475063,0.2099505048343744,0.23228017520652247,0.06681751930918643
28,0.42861066332885195,0.4333115439204609,4.3072968,7.634983,0.6915239095687866,4.3733338321784775e-05,0.10582202915397901,0.21002351677922346,0.23224516276013915,0.06616657341598833
29,0.427706485072141,0.43263450264930725,4.342353,7.584143,0.6956183910369873,4.063093427071375e-05,0.10509337727276105,0.20954226012583133,0.2310231956382277,0.06608133603419576
30,0.42463737024516657,0.43176983384525075,4.4485955,7.715836,0.6849559545516968,3.756550564175724e-05,0.10470677334716712,0.20895860371766267,0.22831778393851387,0.06565267273357936
31,0.42259070537393056,0.431685209274292,4.439354,7.716652,0.6848893165588379,3.454915028125263e-05,0.10437499917058086,0.20805036450031572,0.22544655917340486,0.06524511012766096
32,0.4247121475834064,0.4250766547287212,4.2822213,7.500518,0.7022938132286072,3.1593772365766105e-05,0.10448590510342487,0.2081556932005302,0.2287877120038189,0.06600164070173546
